id,name,brewery_type,street,city,state,postal_code,website_url,phone,longitude,latitude
185,Three Barrel Brewing Co,brewpub,475 Grand Ave,del Norte,Colorado,81132,http://www.threebarrelbrew.com,719-657-0681,-106.3567109,37.6790756
186,Three Four Beer Company,brewpub,829 S Shields St,Fort Collins,Colorado,80521,http://www.threefourbeerco.com,970-682-1560,-105.0959634,40.5726176
187,Tilted Barrel Brew Pub,contract,110 E 29th St,Loveland,Colorado,80538,http://www.tiltedbarrelbrewpub.com,970-619-8950,-105.0773167,40.42158016
188,Tommyknocker Brewery & Pub,micro,1401 Miner St,Idaho Springs,Colorado,80452,http://www.tommyknocker.com,303-567-4419,-105.5176775,39.7417505
189,Tumbleweed Brewing and Wine Company,brewpub,124 S Main St,Yuma,Colorado,80759,http://www.tumbleweedbrewing.com,970-630-2818,-102.7238865,40.12462759
190,Two Rascals Brewing Co,micro,147 N 1st St,Montrose,Colorado,81401,http://www.tworascalsbrewing.com,970-249-8689,-107.8800003,38.4788199
191,Two22 Brew,micro,4550 S Reservoir Rd,Centennial,Colorado,80015,http://www.two22brew.com,720-328-9038,-104.7601698,39.63429093
192,Upslope Brewing Company - Flatiron Park,micro,1898 S Flatiron Ct Ste 110,Boulder,Colorado,80301,http://www.upslopebrewing.com,,-105.2183136,40.0203098
193,Ute Pass Brewing Co,brewpub,209 E Midland Ave,Woodland Park,Colorado,80863,http://www.utepassbrewingcompany.com,719-686-8722,-105.0513357,38.9944899
194,Uturn BBQ,brewpub,599 Crossing Dr,Lafayette,Colorado,80026,http://www.uturnbbq.com,303-993-6033,-105.1016163,40.0035307
195,Verboten Brewing,micro,127 E 5th St,Loveland,Colorado,80537,http://www.verbotenbrewing.com,970-775-7371,-105.0749674,40.39658612
196,Veteran Brothers Brewing Company,brewpub,21 N Parish Ave,Johnstown,Colorado,80534,https://www.facebook.com/veteranbrothersbrew,970-587-6786,-104.9061919,40.33713
197,Vine Street Pub & Brewery,brewpub,1700 Vine St,Denver,Colorado,80206,http://www.mountainsunpub.com,303-388-2337,-104.9627421,39.7434087
198,Walter Brewing Company,micro,126 Oneida St,Pueblo,Colorado,81003,http://www.waltersbeer.com,719-542-0766,-104.6103677,38.26241645
199,WeldWerks Brewing Co.,micro,508 8th Ave,Greeley,Colorado,80631,http://www.weldwerksbrewing.com,970-518-5226,-104.6911497,40.3998251
200,West Flanders Brewing Co,brewpub,1125 Pearl St,Boulder,Colorado,80302,http://www.wfbrews.com,303-447-2739,-105.260866,40.0217453
201,Westbound & Down Brewing Company,brewpub,1617 Miner St,Idaho Springs,Colorado,80452,http://www.westboundanddown.com,720-502-3121,-105.5155002,39.7419049
202,WestFax Brewing Co.,micro,6733 W Colfax Ave,Lakewood,Colorado,80214,http://www.westfaxbrewingcompany.com,303-233-3742,-105.0710839,39.7415749
203,Whistle Pig Brewing Company,micro,1840 Dominion Way,Colorado Springs,Colorado,80918,http://www.whistlepigbrewing.com,719-598-1339,-104.7931723,38.92372675
204,Wibby Brewing,micro,209 Emery St,Longmont,Colorado,80501,http://www.wibbybrewing.com,,-105.1002098,40.1623965
205,Wild Woods Brewery,micro,5460 Conestoga Ct,Boulder,Colorado,80301,http://www.wildwoodsbrewery.com,303-484-1465,-105.2258104,40.0162153
206,WildEdge Brewing Collective,brewpub,111 N Market St,Cortez,Colorado,81321,http://www.wildedgebrewing.com,970-565-9445,-108.5853117,37.34990058
207,Wonderland Brewing Co.,micro,5450 W 120th Ave,Broomfield,Colorado,80020,http://www.wonderlandbrewing.com,303-953-0400,-105.0560819,39.91349895
208,Woods Boss Brewing Company,micro,2210 California St,Denver,Colorado,80205,http://www.woodsbossbrew.com,914-960-9225,-104.9845374,39.7509153
209,Wynkoop Brewing Co,brewpub,1634 18th St,Denver,Colorado,80202,http://www.wynkoop.com,303-297-2700,-104.9984831,39.7535446
210,Zuni Street Brewing Company,micro,2355 W 29th Ave,Denver,Colorado,80211,http://www.zunistreetbrewing.com,303-862-6525,-105.015409,39.7585929
